Leilão,CEG,Data de Início de Suprimento
04/2019,PCH.PH.SC.035155-5.01,2025-01-01 00:00:00
04/2019,PCH.PH.SC.035530-5.01,2025-01-01 00:00:00
04/2019,PCH.PH.SC.037173-4.01,2025-01-01 00:00:00
04/2019,UFV.RS.CE.040708-9.01,2025-01-01 00:00:00
04/2019,UFV.RS.CE.040709-7.01,2025-01-01 00:00:00
04/2019,UFV.RS.CE.040710-0.01,2025-01-01 00:00:00
04/2019,UFV.RS.CE.040711-9.01,2025-01-01 00:00:00
04/2019,UFV.RS.PE.045057-0.01,2025-01-01 00:00:00
04/2019,UFV.RS.PI.036925-0.01,2025-01-01 00:00:00
04/2019,UFV.RS.PI.036926-8.01,2025-01-01 00:00:00
04/2019,UFV.RS.PI.037745-7.01,2025-01-01 00:00:00
04/2019,UFV.RS.PI.037746-5.01,2025-01-01 00:00:00
04/2019,UFV.RS.RN.037811-9.01,2025-01-01 00:00:00
04/2019,UFV.RS.RN.037812-7.01,2025-01-01 00:00:00
04/2019,UHE.PH.SC.030938-9.01,2025-01-01 00:00:00
04/2019,UTE.AI.MG.040785-2.01,2025-01-01 00:00:00
04/2019,UTE.AI.SP.027917-0.01,2025-01-01 00:00:00
04/2019,UTE.AI.SP.027947-1.01,2025-01-01 00:00:00
04/2019,UTE.AI.SP.030264-3.01,2025-01-01 00:00:00
04/2019,UTE.AI.SP.032371-3.01,2025-01-01 00:00:00
04/2019,UTE.AI.SP.040824-7.01,2025-01-01 00:00:00
04/2019,UTE.GN.BA.037897-6.02,2025-01-01 00:00:00
04/2019,UTE.GN.MA.030196-5.01,2025-01-01 00:00:00
